LgaId,LgaName,LgaCode,RegionCode
2,Arusha City Council,25511,2551
3,Arusha District Council,25512,2551
4,Babati,25561,2556
5,Babati District Council,25562,2556
6,Bagamoyo District Council,25731,2573
7,Bahi District Council,25531,2553
8,Bariadi,25621,2562
9,Bariadi Town Council,25622,2562
10,Biharamulo District Council,25601,2560
11,Buchosa District Council,25591,2559
12,Buhigwe District Council,25651,2565
13,Bukoba District Council,25602,2560
14,Bukoba Municipal Council,25603,2560
15,Bukombe District Council,25571,2557
16,Bumbuli District Council,25541,2554
17,Bunda District Council,25581,2558
18,Bunda Town Council,25582,2558
19,Busega District Council,25623,2562
20,Busokelo District Council,25681,2568
21,Butiama District Council,25583,2558
22,Chalinze District Council,25732,2573
23,Chamwino District Council,25532,2553
24,Chato District Council,25572,2557
25,Chemba District Council,25533,2553
26,Chunya District Council,25682,2568
27,Dar es Salaam City  Council,25521,2552
28,Dodoma Municipal Council,25534,2553
29,DSM Rapid Transport  Programme,25522,2552
30,Gairo District Council,25761,2576
31,Geita District Council,25573,2557
32,Geita Town Council,25574,2557
33,Hai District Council,25551,2555
34,Hanang District Council,25563,2556
35,Handeni District Council,25542,2554
36,Handeni Town Council,25543,2554
37,Ifakara Town Council,25762,2576
38,Igunga District Council,25641,2564
39,Ikungi District Council,25631,2563
40,Ilala Municipal Council,25523,2552
41,Ileje District Council,25691,2569
42,Ilemela Munispal Council,25592,2559
43,Iramba District Council,25632,2563
44,Iringa District Council,25671,2567
45,Iringa Municipal Council,25672,2567
46,Itigi District Council,25633,2563
47,Itilima District Council,25624,2562
48,Kahama Town Council,25611,2561
49,Kakonko District Council,25652,2565
50,Kalambo District Council,25701,2570
51,Kaliua District Council,25642,2564
52,Karagwe District Council,25604,2560
53,Karatu District Council,25513,2551
54,Kariakoo Masoko,25524,2552
55,Kasulu District Council,25653,2565
56,Kasulu Town Council,25654,2565
57,Kibaha District Council,25733,2573
58,Kibaha Town Council,25734,2573
59,Kibiti District Council,25735,2573
60,Kibondo District Council,25655,2565
61,Kigamboni Municipal Council,25525,2552
62,Kigoma District Council,25656,2565
63,Kigoma Ujiji Municipal Council,25657,2565
64,Kilindi District Council,25544,2554
65,Kilolo District Council,25673,2567
66,Kilombero District Council,25763,2576
67,Kilosa District Council,25764,2576
