WardId,LgaCode,WardName,WardCode
1,25521,Kivukoni,11101
2,25521,Upanga Mashariki,11102
3,25521,Upanga Magharibi,11103
4,25521,Kisutu,11104
5,25521,Mchafukoge,11105
6,25521,Kariakoo,11106
7,25521,Gerezani,11107
8,25521,Jangwani,11108
9,25521,Mchikichini,11109
10,25522,Ilala,12101
11,25522,Buguruni,12102
12,25522,Tabata,12103
13,25522,Kimanga,12104
14,25522,Segerea,12105
15,25522,Kipawa,12106
16,25522,Ukonga,12107
17,25522,Kiwalani,12108
18,25522,Vingunguti,12109
19,25522,Gongo La Mboto,12110
20,25522,Kitunda,12111
21,25522,Pugu,12112
22,25522,Majohe,12113
23,25522,Msongola,12114
24,25522,Chanika,12115
25,25522,Kinyerezi,12116
26,25522,Kivule,12117
27,25522,Mnyamani,12118
28,25522,Liwiti,12119
29,25522,Bonyokwa,12120
30,25522,Kipunguni,12121
31,25522,Kisukulu,12122
32,25522,Minazi Mirefu,12123
33,25522,Buyuni,12124
34,25522,Zingiziwa,12125
35,25522,Mzinga,12126
36,25522,Pugu Station,12127
37,25523,Magomeni,14101
38,25523,Mzimuni,14102
39,25523,Ndugumbi,14104
40,25523,Tandale,14106
41,25523,Makumbusho,14107
42,25523,Mwananyamala,14108
43,25523,Hananasif,14109
44,25523,Kinondoni,14110
45,25523,Msasani,14111
46,25523,Mikocheni,14112
47,25523,Kijitonyama,14113
48,25523,Kigogo,14118
49,25523,Kawe,14121
50,25523,Kunduchi,14122
51,25523,Bunju,14125
52,25523,Mbweni,14126
53,25523,Mbezi Juu,14128
54,25523,Makongo,14129
55,25523,Wazo,14130
56,25523,Mabwepande,14134
57,25524,Temeke,15101
58,25524,Sandali,15102
59,25524,Chang'ombe,15103
60,25524,Keko,15104
61,25524,Miburani,15105
62,25524,Azimio,15106
63,25524,Tandika,15107
64,25524,Mtoni,15108
65,25524,Kurasini,15109
66,25524,Mbagala Kuu,15112
67,25524,Mbagala,15113
68,25524,Makangarawe,15114
69,25524,Yombo Vituka,15115
70,25524,Chamazi,15116
71,25524,Charambe,15117
72,25524,Toangoma,15118
73,25524,Buza,15125
74,25524,Kilakala,15127
75,25524,Kiburugwa,15128
76,25524,Kijichi,15129
77,25524,Mianzini,15130
78,25524,Kibondemaji,15131
79,25524,Kilungule,15132
80,25525,Mburahati,16101
81,25525,Sinza,16102
82,25525,Ubungo,16103
83,25525,Kimara,16104
84,25525,Saranga,16105
85,25525,Makuburi,16106
86,25525,Makurumla,16107
87,25525,Manzese,16108
88,25525,Mabibo,16109
89,25525,Kibamba,16110
90,25525,Kwembe,16111
91,25525,Goba,16112
92,25525,Mbezi,16113
93,25525,Msigani,16114
94,25526,Kimbiji,17101
95,25526,Somangila,17102
96,25526,Tungi,17103
97,25526,Kisarawe Ii,17104
98,25526,Pembamnazi,17105
99,25526,Mjimwema,17106
100,25526,Kigamboni,17107
101,25526,Vijibweni,17108
102,25526,Kibada,17109
103,25541,Central,21101
104,25541,Mzingani,21102
105,25541,Usagara,21103
106,25541,Ngamiani Kaskazini,21104
107,25541,Ngamiani Kati,21105
108,25541,Ngamiani Kusini,21106
109,25541,Majengo,21107
110,25541,Chumbageni,21108
111,25541,Makorora,21109
112,25541,Mabawa,21110
113,25541,Msambweni,21111
114,25541,Nguvumali,21112
115,25541,Mwanzange,21113
116,25541,Duga,21114
117,25541,Magaoni,21115
118,25541,Mnyanjani,21116
119,25541,Masiwani,21117
120,25542,Tangasisi,21201
121,25542,Mzizima,21202
122,25542,Kiomoni,21203
123,25542,Mabokweni,21204
124,25542,Chongoleani,21205
125,25542,Maweni,21206
126,25542,Tongoni,21207
127,25542,Pongwe,21208
128,25542,Marungu,21209
129,25542,Kirare,21210
130,25543,Pangani Magharibi,21301
131,25543,Pangani Mashariki,21302
132,25543,Bweni,21303
133,25543,Mwera,21304
134,25543,Kimang'a,21305
135,25543,Madanga,21306
136,25543,Bushiri,21307
137,25543,Ubangaa,21308
138,25543,Mikinguni,21309
139,25543,Tungamaa,21310
140,25543,Kipumbwi,21311
141,25543,Mkwaja,21312
142,25543,Mkalamo,21313
143,25543,Masaika,21314
144,25544,Majengo,21401
145,25544,Genge,21402
146,25544,Masuguru,21403
147,25544,Kwemkabala,21404
148,25544,Mbaramo,21405
149,25544,Tanganyika,21406
150,25544,Magila,21407
151,25544,Lusanga,21408
152,25544,Mpapayu,21409
153,25544,Kilulu,21410
154,25544,Tingeni,21411
155,25544,Kwakifua,21412
156,25544,Kicheba,21413
157,25544,Magoroto,21414
158,25544,Pande Darajani,21415
159,25544,Mlingano,21416
160,25544,Ngomeni,21417
161,25544,Kigombe,21418
162,25544,Mkuzi,21419
163,25544,Mtindiro,21420
164,25544,Kwafungo,21421
165,25544,Songa,21422
166,25544,Mhamba,21423
167,25544,Bwembwera,21424
168,25544,Nkumba,21425
169,25544,Tongwe,21426
170,25544,Kisiwani,21427
171,25544,Amani,21428
172,25544,Potwe,21429
173,25544,Misalai,21430
174,25544,Mbomole,21431
175,25544,Zirai,21432
176,25544,Misozwe,21433
177,25544,Kwezitu,21434
178,25544,Kwemingoji,21435
179,25544,Kwabada,21436
180,25544,Makole,21437
181,25545,Daluni,21501
182,25545,Gombero,21502
183,25545,Mnyenzani,21503
184,25545,Kigongoi Magharibi,21504
185,25545,Maramba,21505
186,25545,Mapatano,21506
187,25545,Bwiti,21507
188,25545,Mhinduro,21508
189,25545,Bosha,21509
190,25545,Duga,21510
191,25545,Sigaya,21511
192,25545,Kwale,21512
193,25545,Manza,21513
194,25545,Boma,21514
195,25545,Parungu Kasera,21515
196,25545,Mkinga,21516
197,25545,Moa,21517
198,25545,Mayomboni,21518
199,25545,Mtimbwani,21519
200,25545,Doda,21520
201,25545,Mwakijembe,21521
202,25545,Kigongoi Mashariki,21522
203,25546,Manundu,21601
204,25546,Old Korogwe,21602
205,25546,Kwamsisi,21603
206,25546,Kilole,21604
207,25546,Mgombezi,21605
208,25546,Mtonga,21606
209,25546,Kwamndolwa,21607
210,25546,Kwagunda,21608
211,25546,Mnyuzi,21609
